train_loss,val_loss,val_psnr,val_ssim,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.009177411085621142,0.008870067759813749,20.97165903309995,0.6392052128960689,1727421738,,False,23,b39b0_00004,2024-09-27_14-22-18,142.94933080673218,3263.2361330986023,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,3263.2361330986023,23
0.009119537563657198,0.009028439278476307,20.889115100444563,0.6363128630916277,1727421870,,False,24,b39b0_00004,2024-09-27_14-24-30,131.6577706336975,3394.8939037323,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,3394.8939037323,24
0.009100807204222384,0.009242105481502989,20.718858778025577,0.6373712885826827,1727421993,,False,25,b39b0_00004,2024-09-27_14-26-33,123.57362604141235,3518.467529773712,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,3518.467529773712,25
0.009118673632589783,0.009041911456733942,20.823828779701092,0.6351679596006871,1727422115,,False,26,b39b0_00004,2024-09-27_14-28-35,121.80680060386658,3640.2743303775787,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,3640.2743303775787,26
0.00901728027151359,0.009006656850416697,20.811657464543273,0.6359461971571048,1727422241,,False,27,b39b0_00004,2024-09-27_14-30-41,125.29468369483948,3765.569014072418,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,3765.569014072418,27
0.008993143134062149,0.009503591826578159,20.632696513770767,0.6345560011565685,1727422362,,False,28,b39b0_00004,2024-09-27_14-32-42,121.88273739814758,3887.451751470566,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,3887.451751470566,28
0.009007323147253426,0.008609419060044091,21.04241637367739,0.6413131027470033,1727422482,,False,29,b39b0_00004,2024-09-27_14-34-42,119.06417179107666,4006.5159232616425,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,4006.5159232616425,29
0.008939505873208173,0.00871917811293372,20.968958645771615,0.638021447579066,1727422599,,False,30,b39b0_00004,2024-09-27_14-36-39,117.21461057662964,4123.730533838272,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,4123.730533838272,30
0.008883495869573847,0.008759375655347056,21.011866678080253,0.6414504319578409,1727422718,,False,31,b39b0_00004,2024-09-27_14-38-38,119.18121266365051,4242.911746501923,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,4242.911746501923,31
0.008879177048655712,0.008642885002888104,21.03517481371987,0.6455341817090908,1727422852,,False,32,b39b0_00004,2024-09-27_14-40-52,133.74255537986755,4376.65430188179,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,4376.65430188179,32
0.008855679662766184,0.008670897571779286,20.97613287693654,0.6396826501588027,1727422992,,False,33,b39b0_00004,2024-09-27_14-43-12,140.17743015289307,4516.831732034683,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,4516.831732034683,33
0.008878247078017858,0.008489649941217606,21.120576181076398,0.6443228912055492,1727423109,,False,34,b39b0_00004,2024-09-27_14-45-09,116.85626006126404,4633.687992095947,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,4633.687992095947,34
0.008863708848202825,0.008463482952973233,21.137680829967774,0.6460715796003739,1727423225,,False,35,b39b0_00004,2024-09-27_14-47-05,116.51941585540771,4750.207407951355,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,4750.207407951355,35
0.008837833176120797,0.008578138223394016,21.068324625721484,0.640592321678996,1727423343,,False,36,b39b0_00004,2024-09-27_14-49-03,117.15372061729431,4867.361128568649,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,4867.361128568649,36
